Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lebanon,NA,7.80,8.60,9.60,10.70,10.90,10.50,9.90,9.40,7.60,5.70,4.20,4.60,5.00,5.50,5.90,6.20,6.80,7.10,9.00,10.90,NA,NA
Liberia,NA,36.60,38.10,37.60,36.50,35.80,35.30,34.40,32.90,33.10,34.50,35.70,36.20,36.10,36.80,36.40,36.30,36.60,37.50,39.20,38.30,NA,NA
Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,NA,16.70,16.10,15.70,15.00,14.00,13.20,11.80,10.80,9.80,9.60,8.90,8.10,7.00,6.00,5.20,4.70,4.30,4.10,3.70,3.40,NA,NA
Lesotho,NA,20.00,18.50,16.80,15.30,13.70,12.80,12.40,12.30,11.90,11.60,12.00,14.80,19.30,26.10,30.30,32.00,29.50,28.70,31.20,34.70,NA,NA
Lithuania,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Luxembourg,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Latvia,NA,4.60,3.40,2.80,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
"Macao SAR, China",NA,21.20,20.60,19.10,17.30,16.00,15.20,14.90,14.50,12.40,9.70,7.20,6.50,6.00,5.50,5.10,5.00,4.90,4.70,4.60,4.80,NA,NA
St. Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,NA,6.30,5.90,5.60,5.50,5.50,5.60,5.50,5.60,5.40,5.10,4.60,4.40,4.20,4.10,3.80,3.80,3.70,3.80,4.40,5.60,NA,NA
Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,NA,33.80,35.20,36.50,35.00,33.40,31.00,30.50,30.40,29.70,28.20,27.30,29.40,33.00,37.60,40.20,41.60,42.30,44.30,47.40,48.50,NA,NA
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,3.30,3.70,4.30,4.60,4.40,4.10,4.10,4.50,4.70,4.80,4.70,4.60,4.20,4.40,5.00,5.80,6.10,6.00,6.00,6.10,NA,NA
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,NA,7.50,7.50,5.80,5.50,5.00,4.40,3.60,2.90,3.10,3.40,3.60,3.70,3.60,3.50,3.30,3.00,2.80,2.50,3.10,3.30,NA,NA
Mali,NA,16.20,15.20,15.10,14.40,13.30,11.90,10.40,9.40,7.40,5.80,4.20,3.90,3.70,3.60,3.40,3.10,3.10,3.40,5.60,9.80,NA,NA
Malta,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
